ts,open,high,low,close,volume,quote_volume,trades,taker_buy_volume
1777602240000,2265.82,2266.24,2265.69,2266.23,89.5933,203000.412098,552,74.9314
1777602300000,2266.23,2266.24,2266.07,2266.23,11.9736,27133.696254,287,7.2172
1777602360000,2266.24,2266.57,2266.24,2266.57,12.7938,28995.993962,281,7.0138
1777602420000,2266.57,2267.0,2266.57,2267.0,11.8826,26934.896645,344,10.1612
1777602480000,2267.0,2267.0,2266.61,2266.61,49.2813,111718.138771,322,3.0685
1777602540000,2266.61,2266.61,2266.6,2266.6,5.2528,11906.017734,58,2.1254
1777602600000,2266.61,2267.0,2266.07,2266.07,78.2907,177467.435815,888,11.8011
1777602660000,2266.07,2266.08,2265.09,2265.48,34.5489,78268.073269,1100,20.4916
1777602720000,2265.47,2265.48,2265.47,2265.47,18.0783,40955.891776,104,4.5475
1777602780000,2265.47,2265.48,2265.23,2265.42,14.1736,32108.263277,358,10.7427
1777602840000,2265.42,2266.1,2265.02,2265.47,174.7892,396037.307324,1036,33.4471
1777602900000,2265.48,2266.63,2265.48,2266.63,20.2919,45982.858208,781,17.7989
1777602960000,2266.63,2267.39,2266.62,2267.39,8.9462,20282.291165,426,4.7849
1777603020000,2267.39,2268.0,2267.39,2267.87,178.5329,404883.801782,1014,77.8917
1777603080000,2267.88,2268.0,2267.88,2267.99,8.92,20230.516012,77,8.241
1777603140000,2267.99,2267.99,2267.07,2267.07,20.1348,45659.644829,513,3.3516
1777603200000,2267.06,2267.07,2267.06,2267.06,31.9882,72519.237838,63,6.9146
1777603260000,2267.06,2267.31,2267.06,2267.31,23.4648,53196.372607,158,17.5528
1777603320000,2267.31,2267.35,2266.71,2266.72,25.1956,57124.662677,491,17.2868
1777603380000,2266.71,2266.76,2266.71,2266.75,6.3414,14374.2247,88,2.5666
1777603440000,2266.76,2266.76,2266.42,2266.42,12.2955,27869.789015,265,6.5921
1777603500000,2266.42,2266.42,2266.09,2266.27,58.1479,131773.100288,429,45.2172
1777603560000,2266.28,2266.75,2266.27,2266.75,17.7361,40197.044422,367,16.9199
1777603620000,2266.75,2267.16,2266.41,2267.16,80.6306,182756.898802,769,64.4698
1777603680000,2267.15,2267.15,2266.5,2267.02,29.4771,66817.9096,863,4.7558
1777603740000,2267.03,2267.16,2266.97,2266.97,25.577,57985.051036,266,22.5171
1777603800000,2266.98,2266.98,2266.97,2266.98,23.1455,52470.374108,81,21.9973
1777603860000,2266.98,2267.89,2266.98,2267.75,37.0697,84059.965016,739,29.607
1777603920000,2267.74,2267.75,2267.36,2267.36,25.2881,57341.510231,280,12.7519
