ts,open,high,low,close,volume,quote_volume,trades,taker_buy_volume
1777602540000,76639.56,76639.56,76628.89,76628.9,0.75194,57624.2413929,374,0.21092
1777602600000,76628.9,76639.95,76613.85,76613.85,1.28406,98400.5525899,1177,0.52739
1777602660000,76613.85,76613.86,76582.93,76585.75,1.96726,150676.824495,1274,0.34396
1777602720000,76585.76,76585.76,76572.34,76580.0,3.01173,230646.5914783,832,0.71708
1777602780000,76580.0,76580.0,76564.58,76564.59,1.7722,135701.8563237,677,0.24117
1777602840000,76564.59,76585.22,76564.58,76580.01,9.75563,747099.0143299,734,6.51427
1777602900000,76580.0,76589.44,76580.0,76589.43,1.42348,109014.0101788,306,1.18518
1777602960000,76589.44,76604.96,76589.43,76604.96,1.11861,85682.4243092,509,1.03898
1777603020000,76605.0,76632.08,76605.0,76632.08,1.03683,79446.0227491,863,0.53341
1777603080000,76632.08,76638.78,76632.07,76638.78,1.63834,125559.8164731,227,0.57973
1777603140000,76638.78,76638.78,76618.03,76618.03,1.68867,129407.1689862,1321,0.20389
1777603200000,76618.02,76618.02,76610.9,76610.91,0.3412,26139.9908177,198,0.15108
1777603260000,76610.91,76610.91,76607.89,76607.9,0.84866,65015.2195155,273,0.2975
1777603320000,76607.9,76607.9,76600.02,76600.03,0.66748,51132.7884295,506,0.11531
1777603380000,76600.02,76600.03,76600.02,76600.03,0.6155,47147.3164982,91,0.41882
1777603440000,76600.03,76600.03,76596.01,76596.02,1.11648,85521.9131602,470,0.48194
1777603500000,76596.01,76596.01,76577.33,76577.34,1.09779,84073.7288984,817,0.39248
1777603560000,76577.34,76586.58,76577.33,76586.58,2.92066,223658.3141427,729,0.81111
1777603620000,76586.57,76594.29,76579.41,76594.29,11.26711,862907.1620632,1002,10.76326
1777603680000,76594.28,76594.28,76589.1,76593.69,1.41781,108590.4020422,717,0.59163
1777603740000,76593.68,76599.99,76593.68,76594.29,0.61463,47079.4176341,430,0.21261
1777603800000,76594.3,76599.52,76594.29,76599.51,0.49815,38157.7569313,177,0.4475
1777603860000,76599.51,76615.01,76599.51,76615.0,2.80206,214651.6638929,830,2.63898
1777603920000,76615.0,76615.01,76602.14,76602.14,3.37524,258580.450835,1033,0.26842
1777603980000,76602.14,76602.15,76577.06,76577.07,2.87508,220210.7133898,1104,0.1889
1777604040000,76577.06,76577.07,76577.01,76577.02,1.62392,124354.9921414,285,0.56235
1777604100000,76577.01,76577.01,76556.62,76559.1,2.75069,210602.6084516,1113,0.46303
1777604160000,76559.09,76559.09,76533.74,76544.85,3.57557,273687.1122729,1576,1.30942
1777604220000,76544.85,76544.85,76540.63,76540.63,1.45367,111267.0255575,474,0.36715
1777604280000,76540.63,76570.04,76540.63,76570.04,4.58532,351016.7758187,893,3.12536
1777604340000,76570.03,76592.55,76570.03,76592.54,2.8912,221424.4093556,513,1.88215
1777604400000,76592.54,76592.55,76583.1,76583.1,2.37266,181717.2016172,1125,0.16644
1777604460000,76583.1,76583.11,76564.0,76564.01,1.68687,129173.8783684,1088,0.26685
1777604520000,76564.01,76580.48,76564.0,76580.48,1.46603,112249.8255175,599,1.22121
1777604580000,76580.47,76580.48,76555.57,76555.57,1.70051,130200.0541266,1242,0.21096
1777604640000,76555.57,76559.84,76555.06,76559.83,6.20749,475226.7589769,564,5.24498
1777604700000,76559.83,76566.75,76559.83,76566.75,1.67208,128021.9883703,500,1.03729
1777604760000,76566.75,76579.89,76566.74,76579.88,1.62596,124498.5132575,458,1.02824
1777604820000,76579.88,76637.75,76579.88,76637.74,4.30791,329996.6038651,1476,3.49428
1777604880000,76637.75,76662.41,76637.74,76662.39,3.54373,271636.853935,855,2.39849
1777604940000,76662.38,76669.0,76662.34,76662.35,3.3605,257634.9795105,869,1.01761
1777605000000,76662.34,76700.84,76662.34,76700.83,6.30059,483106.3425946,1209,5.48578
1777605060000,76700.84,76700.84,76686.28,76686.28,2.27918,174810.2651367,629,1.48833
1777605120000,76686.28,76698.97,76686.28,76698.97,1.2402,95118.7643258,397,1.06264
1777605180000,76698.96,76698.97,76698.96,76698.97,0.51092,39187.0352637,101,0.26205
1777605240000,76698.97,76698.98,76698.96,76698.98,2.25241,172757.5277949,162,2.17308
1777605300000,76698.97,76738.55,76698.97,76738.54,9.27515,711710.9139484,1283,9.05853
1777605360000,76738.54,76755.0,76738.54,76755.0,1.6718,128301.245651,793,1.21228
1777605420000,76755.0,76920.81,76755.0,76882.01,69.05387,5307217.9387966,9609,55.55873
1777605480000,76882.0,76882.0,76826.77,76873.68,15.21464,1169218.3397717,3232,6.52926
1777605540000,76873.94,77244.12,76873.94,77244.12,141.56711,10912446.4938752,18519,115.857
1777605600000,77240.71,77369.0,77200.0,77231.14,69.07066,5338854.2850907,12874,37.6636
1777605660000,77231.14,77370.0,77223.42,77249.99,35.72136,2761450.0119419,10721,18.30798
1777605720000,77250.0,77440.11,77250.0,77423.48,126.74325,9808307.9599307,11009,89.63795
1777605780000,77423.48,77453.74,77314.7,77370.0,159.27734,12324836.2285014,10126,24.89278
1777605840000,77370.0,77403.54,77321.33,77321.34,12.24665,947426.757421,4375,4.7164
1777605900000,77321.34,77349.62,77235.09,77244.33,19.16779,1481387.132195,4562,5.4873
1777605960000,77244.33,77296.61,77232.0,77274.17,15.48981,1196891.5254734,2386,10.62364
1777606020000,77274.17,77294.9,77253.84,77274.71,19.27584,1489466.6385195,3344,3.41493
1777606080000,77274.71,77334.61,77274.71,77300.43,22.79232,1761949.6342065,2515,10.04949
1777606140000,77300.43,77311.55,77186.17,77198.27,19.35448,1495367.6657695,3713,4.88891
1777606200000,77198.27,77262.85,77178.65,77242.1,99.23835,7661748.7953161,4332,28.17182
1777606260000,77242.11,77247.92,77185.37,77209.52,13.64579,1053553.9787883,2835,7.61323
1777606320000,77209.52,77260.58,77189.25,77207.76,25.38543,1960587.63613,3067,6.51328
1777606380000,77207.76,77236.16,77196.08,77230.89,13.30688,1027338.8604248,2542,7.25593
1777606440000,77230.89,77255.0,77230.0,77230.0,4.77403,368747.6280315,1976,2.43324
1777606500000,77230.01,77253.22,77230.0,77253.22,2.56376,198029.9964701,1160,1.79743
1777606560000,77253.21,77258.15,77247.0,77258.14,4.69375,362608.9660744,757,3.01598
1777606620000,77258.14,77285.79,77239.33,77239.89,15.80147,1220896.1771758,3036,2.45905
1777606680000,77239.89,77246.19,77209.89,77209.89,6.44701,497937.6343328,2139,1.21724
1777606740000,77209.89,77209.9,77134.47,77139.99,8.70594,671783.8633438,2297,2.84406
1777606800000,77139.99,77139.99,77082.32,77123.2,13.37485,1031259.234236,3300,6.35349
1777606860000,77123.2,77159.84,77123.2,77159.84,4.09128,315624.6996295,1200,3.08255
1777606920000,77159.84,77159.84,77141.33,77154.3,3.76264,290302.4256932,1429,1.01475
1777606980000,77154.31,77180.14,77154.31,77180.14,2.86987,221454.255595,1303,1.88099
1777607040000,77180.14,77180.14,77155.25,77158.4,3.49821,269934.5712185,1174,1.59214
1777607100000,77158.4,77181.61,77148.72,77148.72,3.97531,306751.9480402,1773,1.48331
1777607160000,77148.72,77176.82,77148.72,77175.0,4.46305,344368.207298,1217,2.02417
1777607220000,77175.01,77175.01,77170.0,77174.99,1.2779,98620.7427097,505,0.35836
